"(-0.040317848324775696, 0.0612170435488224, 0.04751637950539589)","(-0.004590163007378578, 0.047615014016628265, 0.038998741656541824)","(0.023306041955947876, 0.03506474941968918, 0.024676980450749397)","(0.04731452465057373, 0.014840563759207726, 0.005278972443193197)","(0.06271544098854065, -0.003947556018829346, -0.007905194535851479)","(0.023777838796377182, -0.002742917276918888, 0.008206874132156372)","(0.03534473106265068, -0.02437341772019863, -0.0020010806620121002)","(0.04321001470088959, -0.04390373080968857, -0.008521104231476784)","(0.04926469922065735, -0.060843534767627716, -0.034150779247283936)","(0.003667929908260703, -0.005088799633085728, 0.004310148302465677)","(0.01494653057307005, -0.03092614747583866, -0.01370934210717678)","(0.020834410563111305, -0.05416412279009819, -0.03152589499950409)","(0.027156980708241463, -0.07171956449747086, -0.050717540085315704)","(-0.014937782660126686, -0.00012172618880867958, -0.005725276656448841)","(-0.007701441645622253, -0.024643592536449432, -0.02008189633488655)","(-0.005139222368597984, -0.044892679899930954, -0.03727954253554344)","(0.003925301134586334, -0.06340328603982925, -0.05872486159205437)","(-0.03750254586338997, 0.009638904593884945, -0.009191425517201424)","(-0.033380649983882904, -0.008958445861935616, -0.020805884152650833)","(-0.030875537544488907, -0.0214653592556715, -0.03747144341468811)","(-0.027218056842684746, -0.03539738431572914, -0.059372227638959885)"
"(0.012179315090179443, -0.011593223549425602, 0.01795124262571335)","(0.018270015716552734, -0.007472860161215067, 0.010660701431334019)","(0.035258397459983826, -0.015647917985916138, -0.0023050764575600624)","(0.039215296506881714, -0.024115700274705887, -0.007365980185568333)","(0.03496883437037468, -0.04504082724452019, -0.015316182747483253)","(0.009905901737511158, -0.0017051228787750006, -0.0019397316500544548)","(-0.003116995096206665, -0.00943523459136486, 0.005918881390243769)","(-0.011667340993881226, -0.01964838057756424, 0.010817593894898891)","(-0.023060379549860954, -0.02833602763712406, 0.022387690842151642)","(-0.0021197269670665264, -0.002375940792262554, 0.0015775588108226657)","(-0.00517573906108737, -0.009021304547786713, 0.0021943224128335714)","(-0.018876779824495316, -0.00924629531800747, -0.0013458050088956952)","(-0.024193620309233665, -0.014052273705601692, 0.018072791397571564)","(-0.005585504695773125, -0.0025898651219904423, 0.0002401561214355752)","(-0.014779942110180855, -0.004467979073524475, 0.005570868030190468)","(-0.02643744833767414, -0.003071817569434643, 0.01348384190350771)","(-0.032968319952487946, -0.007515626959502697, 0.02463086135685444)","(-0.0117708845064044, 0.0010739415884017944, 0.007762114051729441)","(-0.020200323313474655, -0.003833926282823086, 0.005052139051258564)","(-0.026970215141773224, -0.007782618515193462, 0.008232558146119118)","(-0.034842539578676224, -0.0038859518244862556, 0.022898977622389793)"
"(-0.05430326983332634, 0.05855334922671318, 0.04634309187531471)","(-0.014907622709870338, 0.05550846457481384, 0.03831060975790024)","(0.01712285913527012, 0.04198034852743149, 0.02400725521147251)","(0.04151908680796623, 0.027582241222262383, 0.0003958757733926177)","(0.05364750698208809, -0.00019185058772563934, -0.014420141465961933)","(0.027133341878652573, 0.000608738511800766, 0.007016845513135195)","(0.03554077073931694, -0.01706891506910324, -0.002250464167445898)","(0.044083934277296066, -0.03855624049901962, -0.00675657344982028)","(0.051401957869529724, -0.05116906762123108, -0.029904553666710854)","(0.004805710632354021, -0.005826830398291349, 0.0032057790085673332)","(0.019150670617818832, -0.03165615722537041, -0.0064367251470685005)","(0.027515456080436707, -0.0537538006901741, -0.019051173701882362)","(0.0356060154736042, -0.06602451205253601, -0.044537074863910675)","(-0.016901232302188873, -0.003617399837821722, -0.00637844018638134)","(-0.006786335725337267, -0.02845168299973011, -0.012740010395646095)","(-5.052424967288971e-05, -0.0425800085067749, -0.03210457041859627)","(0.01264110766351223, -0.05479201674461365, -0.060784026980400085)","(-0.038904495537281036, 0.004189329221844673, -0.007839667610824108)","(-0.033565085381269455, -0.016506552696228027, -0.017904575914144516)","(-0.02528473734855652, -0.027631260454654694, -0.02761608548462391)","(-0.022149279713630676, -0.0456681102514267, -0.04703250154852867)"
"(0.00771307572722435, 0.06900437921285629, 0.022147543728351593)","(0.026840291917324066, 0.05029842630028725, 0.019057197496294975)","(0.03129551187157631, 0.026546889916062355, 0.012041713111102581)","(0.03107355907559395, 0.006723085418343544, 0.00046696048229932785)","(0.02761027216911316, -0.0053794109262526035, -0.0024614951107650995)","(0.0205992478877306, -0.004767106845974922, 0.0035055074840784073)","(0.03186192736029625, -0.031854547560214996, -0.006294804625213146)","(0.03381448984146118, -0.047489386051893234, -0.002620923100039363)","(0.04329589381814003, -0.0659547820687294, -0.010864882729947567)","(0.0011993449879810214, -0.0022327143233269453, 0.0031945081427693367)","(0.003956549800932407, -0.036207765340805054, -0.009144922718405724)","(0.013454337604343891, -0.05793044716119766, -0.009824633598327637)","(0.021294239908456802, -0.07641924917697906, -0.014388601295650005)","(-0.014915207400918007, 0.0014111222699284554, -0.002604224719107151)","(-0.011801058426499367, -0.028228547424077988, -0.010745637118816376)","(-0.008144093677401543, -0.04615583270788193, -0.012556959874927998)","(0.0005730763077735901, -0.06644585728645325, -0.014521284028887749)","(-0.028810113668441772, 0.01570667326450348, -0.0023921802639961243)","(-0.035807810723781586, -0.005507967434823513, -0.0024807308800518513)","(-0.036990486085414886, -0.022699907422065735, -0.0035947682335972786)","(-0.03221113234758377, -0.036259975284338, -0.00890548899769783)"
"(0.0331251360476017, 0.03419830650091171, 0.056472864001989365)","(0.03555508702993393, 0.008316168561577797, 0.042841456830501556)","(0.033991895616054535, -0.014627236872911453, 0.023923508822917938)","(0.03561081737279892, -0.03447643667459488, -0.00047363180783577263)","(0.03916952759027481, -0.05500525236129761, -0.0230568815022707)","(0.004322524648159742, -0.010959683917462826, -0.0027291581500321627)","(-0.008181300014257431, -0.027359874919056892, -0.00868916790932417)","(-0.021781306713819504, -0.038507796823978424, 0.0012236962793394923)","(-0.0352993942797184, -0.04599250480532646, 0.016011567786335945)","(-0.0015665859682485461, -0.0008744660881347954, -0.001449047471396625)","(-0.02034055069088936, -0.019827861338853836, -0.0023827969562262297)","(-0.04364114999771118, -0.029607493430376053, 0.004698160570114851)","(-0.0564727708697319, -0.03829697519540787, 0.02069922909140587)","(-0.0035600471310317516, 0.006271161139011383, 0.0001003726792987436)","(-0.02564486488699913, -0.0036434950307011604, -0.0006765098660252988)","(-0.04311284422874451, -0.009376095607876778, 0.0055907065980136395)","(-0.05680112540721893, -0.019841669127345085, 0.01774013042449951)","(-0.0075152963399887085, 0.01805693283677101, 0.01343052089214325)","(-0.023561274632811546, 0.010045291855931282, 0.007678710389882326)","(-0.03904300183057785, 0.0038437945768237114, 0.0070161111652851105)","(-0.052053675055503845, 5.316734313964844e-05, 0.006604894995689392)"
"(0.035319216549396515, 0.03325018286705017, 0.06051076203584671)","(0.0365276113152504, 0.004896823316812515, 0.04384265094995499)","(0.03669288381934166, -0.01751532219350338, 0.025730084627866745)","(0.034870125353336334, -0.03868534415960312, 0.0035066192504018545)","(0.03231995552778244, -0.05838125944137573, -0.024431543424725533)","(0.0051150210201740265, -0.009304074570536613, -0.005571386311203241)","(-0.003843865357339382, -0.027573684230446815, -0.006755812093615532)","(-0.019120613113045692, -0.04181647300720215, 0.00569909205660224)","(-0.037379663437604904, -0.04706727713346481, 0.021735651418566704)","(-0.0017281047767028213, 0.00014023366384208202, -0.002285268157720566)","(-0.02038257010281086, -0.017760224640369415, 0.0020843776874244213)","(-0.043959666043519974, -0.02797606959939003, 0.007096763234585524)","(-0.06034688651561737, -0.04197452962398529, 0.030339790508151054)","(-0.005120276939123869, 0.005979825276881456, 0.00135970173869282)","(-0.02640639804303646, -0.003361091949045658, 0.004676438868045807)","(-0.042387496680021286, -0.007566662505269051, 0.01231319922953844)","(-0.054328784346580505, -0.017439275979995728, 0.024721065536141396)","(-0.009419310837984085, 0.017069436609745026, 0.015417229384183884)","(-0.022163530811667442, 0.014292770996689796, 0.013474435545504093)","(-0.042829710990190506, 0.01020658016204834, 0.01499458122998476)","(-0.05224617198109627, 0.005065334960818291, 0.014100028201937675)"
"(0.03230785205960274, 0.042722318321466446, 0.06860454380512238)","(0.03857787325978279, 0.009993129409849644, 0.048101868480443954)","(0.04042894393205643, -0.013091950677335262, 0.030157972127199173)","(0.03931499645113945, -0.03251924738287926, 0.0057775103487074375)","(0.03625241294503212, -0.051870234310626984, -0.021594274789094925)","(0.009754166007041931, -0.01200786605477333, -0.005620103795081377)","(-0.0015355078503489494, -0.029651325196027756, -0.007177677005529404)","(-0.018565738573670387, -0.04582665115594864, 0.007665226701647043)","(-0.03547702729701996, -0.053132738918066025, 0.02555137500166893)","(-0.0007505847606807947, -0.0011179035063832998, -0.0032541153486818075)","(-0.021063219755887985, -0.020949795842170715, -0.0006983928615227342)","(-0.04561604559421539, -0.0332312136888504, 0.010506953112781048)","(-0.06076759099960327, -0.04823712259531021, 0.03797684237360954)","(-0.00785069353878498, 0.006833476014435291, 0.0024521751329302788)","(-0.031073972582817078, -0.007130343466997147, 0.006476007867604494)","(-0.050739217549562454, -0.01520721334964037, 0.015442240051925182)","(-0.06405355036258698, -0.02819078229367733, 0.02785751223564148)","(-0.015668917447328568, 0.01946336030960083, 0.017086796462535858)","(-0.03367828205227852, 0.011987054720520973, 0.01817198283970356)","(-0.05218428000807762, 0.0021355589851737022, 0.02260628528892994)","(-0.06129012256860733, -0.005002763122320175, 0.021892836317420006)"
"(0.029989928007125854, 0.04613681137561798, 0.07263463735580444)","(0.03837382048368454, 0.01598181203007698, 0.05250653624534607)","(0.04393550008535385, -0.010379093699157238, 0.02947401814162731)","(0.03989714756608009, -0.030508700758218765, 0.004254073370248079)","(0.035915881395339966, -0.04907965660095215, -0.026780258864164352)","(0.014539288356900215, -0.012043491005897522, -0.005029973573982716)","(5.286652594804764e-06, -0.030816584825515747, -0.006099135149270296)","(-0.018225664272904396, -0.04866943880915642, 0.005398567300289869)","(-0.033537235110998154, -0.05485193431377411, 0.026739254593849182)","(-0.0007130776066333055, -0.002017437480390072, -0.003374390071257949)","(-0.02185775153338909, -0.02507142163813114, -0.0019531622529029846)","(-0.04253597557544708, -0.03975360095500946, 0.010031724348664284)","(-0.057995669543743134, -0.05498015880584717, 0.034500602632761)","(-0.009777460247278214, 0.00698986928910017, 0.0026962871197611094)","(-0.03269629180431366, -0.01198834739625454, 0.00494593707844615)","(-0.049452491104602814, -0.024463918060064316, 0.014505507424473763)","(-0.060564663261175156, -0.037832390516996384, 0.026999149471521378)","(-0.02016173116862774, 0.021097863093018532, 0.018464909866452217)","(-0.03627841919660568, 0.00680483179166913, 0.019365916028618813)","(-0.049488477408885956, -0.004059772007167339, 0.02065718173980713)","(-0.0569586455821991, -0.012717354111373425, 0.019861208274960518)"
"(0.03417470306158066, 0.07041014730930328, 0.03805696219205856)","(0.05098016560077667, 0.040739405900239944, 0.017025666311383247)","(0.06252322345972061, 0.009881354868412018, -0.0005746270762756467)","(0.06427697092294693, -0.01938864216208458, -0.01930668018758297)","(0.06336510181427002, -0.045077066868543625, -0.025919198989868164)","(0.020396798849105835, -0.015659784898161888, -0.0010170222958549857)","(0.008719092234969139, -0.03806418180465698, -0.010061509907245636)","(-0.0034438958391547203, -0.05662357062101364, -0.01761597953736782)","(-0.015503598377108574, -0.06509026139974594, -0.04086384177207947)","(-0.0013840531464666128, -0.0059206015430390835, 0.003415161743760109)","(-0.02110215649008751, -0.030788343399763107, -0.011374314315617085)","(-0.032832495868206024, -0.04263749346137047, -0.03184199705719948)","(-0.042838893830776215, -0.0532817579805851, -0.05259540304541588)","(-0.0159047432243824, 0.009386882185935974, 0.0010063775116577744)","(-0.03445828706026077, -0.012386680580675602, -0.014072836376726627)","(-0.04437673091888428, -0.023202355951070786, -0.02861749194562435)","(-0.05388969928026199, -0.03663419559597969, -0.04792558774352074)","(-0.023715879768133163, 0.03142104670405388, -0.001001047668978572)","(-0.04193355143070221, 0.01740007847547531, -0.009009375236928463)","(-0.05413147434592247, 0.006251981481909752, -0.023336410522460938)","(-0.06618854403495789, -0.002906802808865905, -0.037063904106616974)"
"(0.032282326370477676, 0.0692194327712059, 0.05158678814768791)","(0.04549318552017212, 0.0401148647069931, 0.032171785831451416)","(0.05694388598203659, 0.013645583763718605, 0.013162104412913322)","(0.05544012784957886, -0.012891172431409359, -0.008130421862006187)","(0.04996902495622635, -0.035045601427555084, -0.023071181029081345)","(0.01587647758424282, -0.015780413523316383, 0.0034870572853833437)","(0.0029736068099737167, -0.03753853216767311, -0.006777141708880663)","(-0.009511753916740417, -0.05387730151414871, -0.015052331611514091)","(-0.021715259179472923, -0.06408856064081192, -0.041317105293273926)","(-0.0029753115959465504, -0.00544211408123374, 0.0026170695200562477)","(-0.01759643666446209, -0.027560709044337273, -0.01855684630572796)","(-0.017009258270263672, -0.028426216915249825, -0.04330851882696152)","(-0.01392824575304985, -0.019984839484095573, -0.06682924926280975)","(-0.012305725365877151, 0.008976726792752743, -0.0013920377241447568)","(-0.027099059894680977, -0.007876724936068058, -0.020741792395710945)","(-0.028505003079771996, -0.009860830381512642, -0.045821044594049454)","(-0.021880201995372772, -0.003387102857232094, -0.07113050669431686)","(-0.018168821930885315, 0.032586559653282166, -0.0028224303387105465)","(-0.035761989653110504, 0.021330203860998154, -0.014092907309532166)","(-0.0452570877969265, 0.013038791716098785, -0.03377155959606171)","(-0.04816116392612457, 0.01070760004222393, -0.05204093083739281)"
